GeneA	GeneA#	GeneB	GeneB#	GeneAB	GeneAB#	p-value
High-mobility group AT-hook 2	9	mir-154	5	High-mobility group AT-hook 2_mir-154	1	1.0
Tie2	1869	activator protein-1	614	Tie2_activator protein-1	1	1.0
LH beta	289	serum response factor	446	LH beta_serum response factor	1	1.0
ASPM	260	CDK1	1720	ASPM_CDK1	2	1.0
HOXA11	194	HOXA2	55	HOXA11_HOXA2	2	1.0
CD43	815	IL-2	28806	CD43_IL-2	4	nan
interleukin (IL)-6	2433	interleukin6	9	interleukin (IL)-6_interleukin6	1	1.0
SF1	575	TNFAIP3	837	SF1_TNFAIP3	1	1.0
PCFT	429	PepT1	449	PCFT_PepT1	1	1.0
Receptor for advanced glycation end products	54	Sfrp1	111	Receptor for advanced glycation end products_Sfrp1	1	1.0
FucT VII	1	fucosyltransferase VII	8	FucT VII_fucosyltransferase VII	0	1.0
Atp9p	13	atp6	181	Atp9p_atp6	0	1.0
Il12a	9	Xcl1	11	Il12a_Xcl1	1	1.0
SUN-1	44	ZYG-12	2	SUN-1_ZYG-12	1	1.0
NACA	89	PEBP1	128	NACA_PEBP1	1	1.0
Chd1	143	pho80	14	Chd1_pho80	1	1.0
Stim2	42	TRPC4	480	Stim2_TRPC4	1	1.0
ER-60	29	PDIA3	266	ER-60_PDIA3	1	1.0
ADH	1205	Adh-1	36	ADH_Adh-1	1	1.0
Pparg2	4	Uhrf1	101	Pparg2_Uhrf1	1	1.0
TNFa	18783	Tpo	104	TNFa_Tpo	2	1.0
p97	1206	salt-inducible kinase 2	15	p97_salt-inducible kinase 2	1	1.0
HLA-DQB1	1064	LTA	126	HLA-DQB1_LTA	1	1.0
MTHFD1	274	PON1	5601	MTHFD1_PON1	2	1.0
Il1r1	47	Pycard	21	Il1r1_Pycard	3	0.917977181622
COX2	2146	PS1	3417	COX2_PS1	1	1.0
RAGE	9250	SBP	7169	RAGE_SBP	1	1.0
PKC a	85	sphingosine 1-phosphate (S1P) receptor 1	7	PKC a_sphingosine 1-phosphate (S1P) receptor 1	1	1.0
Myod1	46	Ppara	272	Myod1_Ppara	1	1.0
ADAM10	2193	Flt1	280	ADAM10_Flt1	1	1.0
ARVCF	73	PKP4	9	ARVCF_PKP4	1	1.0
NADSYN1	57	relB	7	NADSYN1_relB	1	1.0
Bcl-x(L)	355	c-FLIP	1092	Bcl-x(L)_c-FLIP	2	1.0
AKAP12	286	HDAC1	2621	AKAP12_HDAC1	1	1.0
Irx6	12	Pitx2	545	Irx6_Pitx2	1	1.0
EloB	29	Ptc1	123	EloB_Ptc1	1	1.0
CXCL2	920	IL-5	5969	CXCL2_IL-5	5	nan
Insulin	9140	interleukin-10	3302	Insulin_interleukin-10	2	1.0
Kcna4	8	Kv1.4	233	Kcna4_Kv1.4	2	1.0
phosphatidylinositol 3-kinase	1361	tumor necrosis factor-related apoptosis-inducing ligand	467	phosphatidylinositol 3-kinase_tumor necrosis factor-related apoptosis-inducing ligand	3	0.959770997899
CCL13	81	IL1B	1293	CCL13_IL1B	1	1.0
HHIP	205	PGF	1415	HHIP_PGF	1	1.0
Myeloperoxidase	908	OPN	8753	Myeloperoxidase_OPN	1	1.0
ER	10184	NRP1	930	ER_NRP1	2	1.0
EIF4G1	148	VPS35	365	EIF4G1_VPS35	17	nan
Gephyrin	72	VGLUT1	572	Gephyrin_VGLUT1	1	1.0
Immunoglobulin mu-binding protein 2	1	Smubp-2	2	Immunoglobulin mu-binding protein 2_Smubp-2	1	1.0
Gpr116	24	P2RY2	20	Gpr116_P2RY2	0	1.0
Amyloid beta precursor protein	2	CXCL10	4639	Amyloid beta precursor protein_CXCL10	1	1.0
Coro1A	35	Th1	16395	Coro1A_Th1	1	1.0
hRAR-alpha	9	mRAR-beta	1	hRAR-alpha_mRAR-beta	0	1.0
mTORC2	2910	transaldolase	16	mTORC2_transaldolase	1	1.0
Arg1	644	nitric oxide synthase-2	30	Arg1_nitric oxide synthase-2	1	1.0
TNF-R1	389	oxytocin receptor	489	TNF-R1_oxytocin receptor	1	1.0
PR1	322	SIZ1	70	PR1_SIZ1	1	1.0
PSF	849	VCP/p97	56	PSF_VCP/p97	1	1.0
BCOR	341	ROBO3	70	BCOR_ROBO3	1	1.0
ADH1B	862	MAOA	1375	ADH1B_MAOA	1	1.0
CA125	4631	Nectin 4	9	CA125_Nectin 4	0	1.0
EOMES	127	ID2	405	EOMES_ID2	3	nan
AKT1	2126	PERK	2402	AKT1_PERK	2	1.0
COX11	53	NDUFA5	15	COX11_NDUFA5	1	1.0
CTH2	8	FET3	7	CTH2_FET3	1	1.0
ELOVL family member 6	1	SREBF2	68	ELOVL family member 6_SREBF2	0	1.0
ABCA2	90	ABCB6	258	ABCA2_ABCB6	1	1.0
G-protein coupled ER	3	GPER	1864	G-protein coupled ER_GPER	2	1.0
RIN3	42	ZCWPW1	25	RIN3_ZCWPW1	2	1.0
BRCA1-associated protein 1	43	GNAQ	596	BRCA1-associated protein 1_GNAQ	1	1.0
Plb1	6	YPK1	6	Plb1_YPK1	1	1.0
17beta-hydroxysteroid dehydrogenase type 1 (17beta-HSD1	4	pS2	383	17beta-hydroxysteroid dehydrogenase type 1 (17beta-HSD1_pS2	1	1.0
TMEM88	49	tmem88a	7	TMEM88_tmem88a	1	1.0
DKK-4	4	DNMT-3a	8	DKK-4_DNMT-3a	1	1.0
MRS2	32	Mrs2	24	MRS2_Mrs2	2	1.0
GATA-3) and retinoid-related orphan nuclear receptor	1	Th1	16395	GATA-3) and retinoid-related orphan nuclear receptor_Th1	0	1.0
Sox7	99	hey2	10	Sox7_hey2	1	1.0
IL-8	23689	TCP 1	1	IL-8_TCP 1	0	1.0
Vps36	8	sarco/endoplasmic reticulum Ca(2+)-ATPase	36	Vps36_sarco/endoplasmic reticulum Ca(2+)-ATPase	1	1.0
APC5	16	Elp3	67	APC5_Elp3	1	1.0
CAM-1	21	ROR2	401	CAM-1_ROR2	1	1.0
RAG)1	4	T cell receptor	301	RAG)1_T cell receptor	0	1.0
Urokinase plasminogen activator	31	plasminogen activator inhibitor type 2	9	Urokinase plasminogen activator_plasminogen activator inhibitor type 2	1	1.0
OTUB2	17	Otubain2	1	OTUB2_Otubain2	0	1.0
CD6	365	MUC5AC	2789	CD6_MUC5AC	2	1.0
CENPE	35	UBE2D3	47	CENPE_UBE2D3	1	1.0
ARR18	16	PROLINE DEHYDROGENASE1	1	ARR18_PROLINE DEHYDROGENASE1	0	1.0
TGF-bR1	58	p21	16739	TGF-bR1_p21	1	1.0
U-100	46	U-100R	5	U-100_U-100R	1	1.0
PLD1	626	PP2A	5136	PLD1_PP2A	1	1.0
IL-17	20062	MeCP2	2778	IL-17_MeCP2	1	1.0
Becn-1	3	LC3B	1127	Becn-1_LC3B	1	1.0
AngII	3881	matrix metalloproteinase 2	576	AngII_matrix metalloproteinase 2	2	1.0
Ad4	36	HA1	621	Ad4_HA1	2	1.0
SMAD2/4	2	TGFb	7612	SMAD2/4_TGFb	0	1.0
CK2a	111	Rac1	9261	CK2a_Rac1	1	1.0
Bcl  -2	524	mammalian target of rapamycin	5804	Bcl  -2_mammalian target of rapamycin	5	nan
ghrelin	8244	ghrelin-O-acyl transferase	1	ghrelin_ghrelin-O-acyl transferase	0	1.0
CD4	100721	IL12rb	1	CD4_IL12rb	0	1.0
BGLAP	116	BMP2	3700	BGLAP_BMP2	9	nan
TLXI	1	xylanase inhibitor	2	TLXI_xylanase inhibitor	1	1.0
IL-1a	3527	Rab  -3D	2	IL-1a_Rab  -3D	1	1.0
CYP2C19	6504	PAR-1	1474	CYP2C19_PAR-1	2	1.0
CD14	9674	GalN	850	CD14_GalN	2	1.0
CROT	29	miR	6138	CROT_miR	1	1.0
a  -smooth muscle actin (a  -SMA	1	vascular endothelial growth factor	16778	a  -smooth muscle actin (a  -SMA_vascular endothelial growth factor	0	1.0
Ctnnd1	3	Src	10741	Ctnnd1_Src	1	1.0
FRYL	2	HSF4	154	FRYL_HSF4	0	1.0
Ubiquitin-fold modifier 1	7	immunoglobulin heavy chain-binding protein	8	Ubiquitin-fold modifier 1_immunoglobulin heavy chain-binding protein	1	1.0
ERK1/2	22605	TGF-beta(1)	204	ERK1/2_TGF-beta(1)	1	1.0
Bcl2	2368	IL-4	22172	Bcl2_IL-4	3	nan
Pick	718	p40	1474	Pick_p40	1	1.0
Fasciclin 2	9	eve	89	Fasciclin 2_eve	1	1.0
I kappa B kinase b	2	RAGE	9250	I kappa B kinase b_RAGE	1	1.0
Gal-3	1658	IL-17- and -4	2	Gal-3_IL-17- and -4	1	1.0
Flotillin 1	5	flotillin 1	19	Flotillin 1_flotillin 1	3	nan
chrm4	1	mSin3A, histone deacetylases 1 and 2	1	chrm4_mSin3A, histone deacetylases 1 and 2	1	1.0
Atg16L1	146	BiP	1683	Atg16L1_BiP	2	1.0
COMT	6667	enkephalinase-catecholamine-methyl-transferase	1	COMT_enkephalinase-catecholamine-methyl-transferase	0	1.0
FLT3	6469	cytochrome c	7778	FLT3_cytochrome c	1	1.0
PGP9.5	406	a-SMA	4197	PGP9.5_a-SMA	1	1.0
Chemokine (C-C motif) receptor 8	2	c-jun	1088	Chemokine (C-C motif) receptor 8_c-jun	0	1.0
Apolipoprotein-AI	5	apolipoprotein-AI	22	Apolipoprotein-AI_apolipoprotein-AI	2	1.0
IFN-y	17645	Interleukin (IL) 9	1	IFN-y_Interleukin (IL) 9	0	1.0
CHOP	8666	Il-17f	5	CHOP_Il-17f	1	1.0
IL-13	8550	SHP2	1192	IL-13_SHP2	1	1.0
LXRb	410	SIRT1	13446	LXRb_SIRT1	1	1.0
FEZ2	11	TRE2-BUB2-CDC16	2	FEZ2_TRE2-BUB2-CDC16	0	1.0
Mical-1	16	Mical1	6	Mical-1_Mical1	1	1.0
CD56	5454	IL-12/15	2	CD56_IL-12/15	0	1.0
early growth response gene-1 (egr-1	1	egr-1	144	early growth response gene-1 (egr-1_egr-1	0	1.0
RANKL	12529	tissue inhibitor of metalloproteinase-2	82	RANKL_tissue inhibitor of metalloproteinase-2	1	1.0
ST3Gal-II	20	calnexin	478	ST3Gal-II_calnexin	1	1.0
CTGF	6434	Endonuclease G	35	CTGF_Endonuclease G	1	1.0
dehydroascorbate reductase	49	glutathione S-transferase	2241	dehydroascorbate reductase_glutathione S-transferase	3	nan
FGF-18	35	TGF-b1	25265	FGF-18_TGF-b1	1	1.0
Casp8	141	Raf1	205	Casp8_Raf1	1	1.0
Gnas	106	Tmed9	3	Gnas_Tmed9	1	1.0
IRAK-1	302	epithelial neutrophil activating peptide-78	4	IRAK-1_epithelial neutrophil activating peptide-78	1	1.0
GAPDH	3990	cytokeratin19	29	GAPDH_cytokeratin19	1	1.0
DYSF	145	GJB1	247	DYSF_GJB1	1	1.0
DNase I	698	PEA2	4	DNase I_PEA2	1	1.0
Claudin  -6	1	p38	25919	Claudin  -6_p38	0	1.0
IL-2	28806	Pim2	64	IL-2_Pim2	1	1.0
interleukin 1 receptor antagonist	79	tumour necrosis factor a	254	interleukin 1 receptor antagonist_tumour necrosis factor a	1	1.0
STAT3	28183	myocardin	427	STAT3_myocardin	1	1.0
Hsp70.1	108	anti-oxidant protein-like 1	1	Hsp70.1_anti-oxidant protein-like 1	0	1.0
IL-29	370	p65 NF-kB heterodimer and IRF-1	1	IL-29_p65 NF-kB heterodimer and IRF-1	0	1.0
TRPV4	3077	Transient receptor potential vanilloid-4	1	TRPV4_Transient receptor potential vanilloid-4	0	1.0
TGase-2	4	Transglutaminase 2	193	TGase-2_Transglutaminase 2	1	1.0
REGgamma	35	p53	91998	REGgamma_p53	2	1.0
GH	16536	SLC12A1	65	GH_SLC12A1	1	1.0
NADPH Oxidase-2	2	P34	164	NADPH Oxidase-2_P34	0	1.0
DNA-PKcs	1677	caspase-3	23030	DNA-PKcs_caspase-3	9	nan
KCNMA1	127	leucine-rich repeat containing 52	1	KCNMA1_leucine-rich repeat containing 52	0	1.0
Ana3	1	RTTN	19	Ana3_RTTN	1	1.0
Apo A	161	apoprotein A	2	Apo A_apoprotein A	1	1.0
APOA5	828	PPARG	1231	APOA5_PPARG	3	nan
fructose-bisphosphatase 1	1	glucocorticoid receptor	2919	fructose-bisphosphatase 1_glucocorticoid receptor	0	1.0
CCL3	1598	NF-kB	8886	CCL3_NF-kB	2	1.0
cytochrome P450 enzymes (CYP) 2C8	1	nuclear factor erythroid 2-related factor 2	501	cytochrome P450 enzymes (CYP) 2C8_nuclear factor erythroid 2-related factor 2	0	1.0
Stem Cell Factor	35	c-fos	4837	Stem Cell Factor_c-fos	1	1.0
RUNX1	2804	runt-related transcription factor 3	38	RUNX1_runt-related transcription factor 3	1	1.0
ColQ	162	hnRNP H	83	ColQ_hnRNP H	1	1.0
alpha 2-macroglobulin	1070	retinol-binding protein	172	alpha 2-macroglobulin_retinol-binding protein	2	1.0
MT1 and clock	1	PER1	530	MT1 and clock_PER1	0	1.0
GLI3	432	cyclin F	37	GLI3_cyclin F	1	1.0
CD133	10805	STAT1	6194	CD133_STAT1	1	1.0
SERPINA1	306	TXNL1	21	SERPINA1_TXNL1	1	1.0
GJA10	5	mCx36	2	GJA10_mCx36	1	1.0
GRP-10	14	gastrin releasing peptide	107	GRP-10_gastrin releasing peptide	2	1.0
CD11c	3786	RANKL	12529	CD11c_RANKL	5	nan
Gabrg3	2	RIMBP2	1	Gabrg3_RIMBP2	1	1.0
COUP-TFII	585	PTCH1	824	COUP-TFII_PTCH1	1	1.0
ITGB3	394	STMN1	541	ITGB3_STMN1	1	1.0
ESRP2	38	NR1I3	147	ESRP2_NR1I3	1	1.0
IFN-a2b	198	Wnt3a	1990	IFN-a2b_Wnt3a	1	1.0
ZPR9	15	murine protein serine-threonine kinase 38	2	ZPR9_murine protein serine-threonine kinase 38	1	1.0
HM13	4	TCFL5	13	HM13_TCFL5	1	1.0
RANKL	12529	caveolin-1	2725	RANKL_caveolin-1	2	1.0
CEP55	146	CEP57	30	CEP55_CEP57	1	1.0
angiotensin II receptor type 1	89	suppressor of cytokine signaling-3	56	angiotensin II receptor type 1_suppressor of cytokine signaling-3	1	1.0
OASL	97	RTP4	12	OASL_RTP4	0	1.0
MPK6	362	wak2	1	MPK6_wak2	0	1.0
HSPD1	79	TPM3	203	HSPD1_TPM3	1	1.0
IL-13	8550	LCN-8	1	IL-13_LCN-8	0	1.0
hK10	12	serine protease	1188	hK10_serine protease	1	1.0
NEBL	40	SNTA1	66	NEBL_SNTA1	1	1.0
Eif2s3y	17	Xist	909	Eif2s3y_Xist	3	nan
HNF1A-antisense 1	2	cyclin D1	10302	HNF1A-antisense 1_cyclin D1	0	1.0
prox1a	5	prox1b	14	prox1a_prox1b	0	1.0
Hox-B4	3	VEGF	74829	Hox-B4_VEGF	0	1.0
Galectin-9	243	interferon-y	487	Galectin-9_interferon-y	1	1.0
OCT3/4	340	TP53	12522	OCT3/4_TP53	5	nan
GTP cyclohydrolase 1	59	SLC7A7	69	GTP cyclohydrolase 1_SLC7A7	1	1.0
Broad-Complex	3	HR96	22	Broad-Complex_HR96	1	1.0
Bcl-X(L	5	cancer-associated protein	10	Bcl-X(L_cancer-associated protein	1	1.0
ARRB2	76	ESR1	3247	ARRB2_ESR1	1	1.0
TCR	5108	TNF receptor-associated factor 2	48	TCR_TNF receptor-associated factor 2	1	1.0
BMP4	3467	Runt-related transcription factor 1	26	BMP4_Runt-related transcription factor 1	0	1.0
AtNOA1	19	Emb14	4	AtNOA1_Emb14	1	1.0
CDH19	13	EXT1	332	CDH19_EXT1	1	1.0
GRIK3	31	SLC18A2	64	GRIK3_SLC18A2	1	1.0
CCR2	4175	IL-9	1700	CCR2_IL-9	1	1.0
HSD3B2	232	RARB	225	HSD3B2_RARB	2	1.0
proopiomelanocortin	336	vGAT	45	proopiomelanocortin_vGAT	1	1.0
BCRP	2998	Epidermal growth factor receptor	1496	BCRP_Epidermal growth factor receptor	2	1.0
Akt/PKB	211	Insulin	9140	Akt/PKB_Insulin	5	nan
CYP1A4	55	DHRSX	11	CYP1A4_DHRSX	1	1.0
Platelet-derived growth factor receptor (PDGFR) alpha	1	TNF alpha	1695	Platelet-derived growth factor receptor (PDGFR) alpha_TNF alpha	0	1.0
Programmed cell death ligand-1	3	c-Myc	6330	Programmed cell death ligand-1_c-Myc	0	1.0
BRCA 1	117	neurofibromatosis I	2	BRCA 1_neurofibromatosis I	0	1.0
Interleukin-10	670	Sri	4165	Interleukin-10_Sri	1	1.0
SNAIL1	140	slug	242	SNAIL1_slug	1	1.0
BCR-ABL	3731	RALA	91	BCR-ABL_RALA	1	1.0
MRGPRA3	8	RAF	1820	MRGPRA3_RAF	0	1.0
Rag2	588	Shp	158	Rag2_Shp	1	1.0
JAK2/b	1	PP2A	5136	JAK2/b_PP2A	0	1.0
SP-D	2005	beta-2	630	SP-D_beta-2	1	1.0
HNF4A-CYP3A7	1	UGT1A	390	HNF4A-CYP3A7_UGT1A	0	1.0
cdc1	4	mcd4	7	cdc1_mcd4	1	1.0
caspase 3	4895	tumor necrosis factor-alpha	4562	caspase 3_tumor necrosis factor-alpha	10	1.6885987533e-08
Endothelial lipase	37	VEGF-A	6921	Endothelial lipase_VEGF-A	1	1.0
IgG1	2900	TSE2	3	IgG1_TSE2	0	1.0
gamma-interferon	114	tumor necrosis factor	8475	gamma-interferon_tumor necrosis factor	5	nan
ABCB1	6569	OAT4	107	ABCB1_OAT4	1	1.0
P75	184	Trk	574	P75_Trk	3	nan
rG-CSF	77	rIL-1 alpha	167	rG-CSF_rIL-1 alpha	1	1.0
HOXA10	667	IL1	678	HOXA10_IL1	1	1.0
SSEA1	120	c-Myc	6330	SSEA1_c-Myc	3	nan
P62	199	caspase 3	4895	P62_caspase 3	1	1.0
HDAC3	1590	IL10	2727	HDAC3_IL10	1	1.0
AtNRAMP1	3	AtNRAMP1 and 6	1	AtNRAMP1_AtNRAMP1 and 6	0	1.0
interleukin-6	13580	kallistatin	244	interleukin-6_kallistatin	4	0.999977382386
IKBKE	143	PI3K	27411	IKBKE_PI3K	1	1.0
cPGES	60	mPGES	35	cPGES_mPGES	1	1.0
HGF	11448	pancreatic	129	HGF_pancreatic	1	1.0
Cx43	8130	Drebrin	13	Cx43_Drebrin	1	1.0
FIR	229	Hfp	29	FIR_Hfp	1	1.0
NRG-1	346	hNRG-1	13	NRG-1_hNRG-1	2	1.0
IgE	3168	LRRC32	49	IgE_LRRC32	1	1.0
MicroRNA-155	91	socs1	20	MicroRNA-155_socs1	2	1.0
BACE1	4195	Snapin	129	BACE1_Snapin	1	1.0
IL-8	23689	sPLA2-IID	12	IL-8_sPLA2-IID	0	1.0
EIF3F	4	MURF1	46	EIF3F_MURF1	1	1.0
MBP	5816	SLA-2	71	MBP_SLA-2	1	1.0
Factor XII	15	thrombin	19814	Factor XII_thrombin	3	nan
CD200	1466	alpha-fetoprotein	4354	CD200_alpha-fetoprotein	1	1.0
C10orf54	1	TNXB	102	C10orf54_TNXB	0	1.0
TLR 4	111	interferon regulatory factor 3	243	TLR 4_interferon regulatory factor 3	1	1.0
TGFb(1	6	aSMA	640	TGFb(1_aSMA	1	1.0
CYP3A4	8629	NTCP	881	CYP3A4_NTCP	3	0.998938995911
HDAC3	1590	heat shock protein 90	656	HDAC3_heat shock protein 90	1	1.0
RSK4	127	p21	16739	RSK4_p21	1	1.0
APJ	758	bradykinin B1 and B2 receptors	6	APJ_bradykinin B1 and B2 receptors	1	1.0
Gar1	31	Pwp2	3	Gar1_Pwp2	1	1.0
Bid	1686	cyclin D1	10302	Bid_cyclin D1	16	nan
Abelson	38	dAbl	6	Abelson_dAbl	2	1.0
Ab	104	Apolipoprotein E	1316	Ab_Apolipoprotein E	1	1.0
lysosomal-associated membrane protein 2	23	tumor necrosis factor	8475	lysosomal-associated membrane protein 2_tumor necrosis factor	1	1.0
Calponin-2	1	Peroxiredoxin-1	20	Calponin-2_Peroxiredoxin-1	0	1.0
HIF  -1a	226	brain and muscle Arnt  -like  1	1	HIF  -1a_brain and muscle Arnt  -like  1	0	1.0
CD4+/CD8	89	CD45	7055	CD4+/CD8_CD45	1	1.0
IL-2Ra	298	Jak1	205	IL-2Ra_Jak1	1	1.0
let  -7b	20	miR  -33b	2	let  -7b_miR  -33b	1	1.0
MRP1	2123	multidrug-resistance-related protein 1	2	MRP1_multidrug-resistance-related protein 1	1	1.0
CD62L	1306	HLA-G	3538	CD62L_HLA-G	1	1.0
ATF6	1190	poly (ADP-ribose) polymerase	541	ATF6_poly (ADP-ribose) polymerase	1	1.0
WWOX	1289	transcriptional co-activator with PDZ-binding motif	27	WWOX_transcriptional co-activator with PDZ-binding motif	2	1.0
IER3	151	c-MYC	1882	IER3_c-MYC	1	1.0
IL-10 A	9	VEGF C	11	IL-10 A_VEGF C	1	1.0
Bax	20988	TNFRSF1B	164	Bax_TNFRSF1B	1	1.0
CtIP	502	helicase	1307	CtIP_helicase	2	1.0
CD69	2214	interleukin (IL)-23 receptor	7	CD69_interleukin (IL)-23 receptor	1	1.0
MDC1	537	Rad21	114	MDC1_Rad21	1	1.0
ATR	3059	Ad12	30	ATR_Ad12	1	1.0
Gli2	725	Myf5	615	Gli2_Myf5	2	1.0
BCCIP	96	p21,CIP1)-interacting protein	1	BCCIP_p21,CIP1)-interacting protein	0	1.0
COL2A1	817	FADD	1194	COL2A1_FADD	1	1.0
GPCR	2727	p57	977	GPCR_p57	1	1.0
MNK1	126	eIF4E	2893	MNK1_eIF4E	19	nan
miR-203	1568	miR-483	148	miR-203_miR-483	1	1.0
ALPL	296	CUBN	99	ALPL_CUBN	1	1.0
CD 44	21	LYVE1	65	CD 44_LYVE1	1	1.0
SP-D	2005	VDR	9874	SP-D_VDR	1	1.0
PRDM2	74	TSHZ2	19	PRDM2_TSHZ2	1	1.0
gpL115	4	leukosialin	72	gpL115_leukosialin	1	1.0
CYP1B1	2184	FOSL1	156	CYP1B1_FOSL1	1	1.0
CD163	3108	PDGF-B	877	CD163_PDGF-B	2	1.0
PDEF	186	S100A7	461	PDEF_S100A7	1	1.0
LC3-B	15	RhoC	762	LC3-B_RhoC	1	1.0
ERK5	1405	NFAT	318	ERK5_NFAT	1	1.0
Heat shock protein 27	79	Tumor necrosis factor	962	Heat shock protein 27_Tumor necrosis factor	1	1.0
ATP2B2	24	KLF2	973	ATP2B2_KLF2	1	1.0
PINK1	2987	SNCG	401	PINK1_SNCG	1	1.0
Env	4595	GM-CSF	11085	Env_GM-CSF	8	nan
Thrombomodulin	239	factor V Leiden	903	Thrombomodulin_factor V Leiden	1	1.0
Adenosine A(1) receptor	9	endothelin-1	5062	Adenosine A(1) receptor_endothelin-1	1	1.0
AP-1	4280	MKK7	369	AP-1_MKK7	5	0.994427779296
Bax	20988	TGF-beta 1	1440	Bax_TGF-beta 1	1	1.0
CYP2E1	4128	GSTP1-1	130	CYP2E1_GSTP1-1	1	1.0
