HGNC:5	['A1BG']	['alpha-1-B glycoprotein']
HGNC:57	['ABCC6', 'MRP6', 'EST349056', 'MLP1', 'URG7', 'ARA', 'PXE']	['ATP binding cassette subfamily C member 6', 'pseudoxanthoma elasticum', 'ATP-binding cassette, sub-family C (CFTR/MRP), member 6']
HGNC:33353	['ABCC6P2']	['ATP binding cassette subfamily C member 6 pseudogene 2', 'ATP-binding cassette, sub-family C, member 6 pseudogene 2']
HGNC:60	['ABCC9', 'SUR2', 'CMD1O']	['ATP binding cassette subfamily C member 9', 'sulfonylurea receptor 2', 'ATP-binding cassette, sub-family C (CFTR/MRP), member 9']
HGNC:14639	['ABCC11', 'MRP8']	['ATP binding cassette subfamily C member 11', 'ATP-binding cassette, sub-family C (CFTR/MRP), member 11']
HGNC:16022	['ABCC13', 'PRED6', 'C21orf73', 'ABCC13P']	['ATP binding cassette subfamily C member 13 (pseudogene)', 'ATP-binding cassette, sub-family C (CFTR/MRP), member 13']
HGNC:62	['ABCD1P1']	['ATP binding cassette subfamily D member 1 pseudogene 1', 'ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 1']
HGNC:64	['ABCD1P3']	['ATP binding cassette subfamily D member 1 pseudogene 3', 'ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 3']
HGNC:42662	['ABCD1P5']	['ATP binding cassette subfamily D member 1 pseudogene 5', 'ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 5']
HGNC:67	['ABCD3', 'PMP70', 'ZWS2', 'PXMP1']	['ATP binding cassette subfamily D member 3', 'ATP-binding cassette, sub-family D (ALD), member 3']
HGNC:69	['ABCE1', 'RLI', 'OABP', 'RLI1', 'RNASEL1', 'RNASELI', 'RNS4I']	['ATP binding cassette subfamily E member 1', 'RNase L inhibitor 1', 'ATP-binding cassette, sub-family E (OABP), member 1']
HGNC:71	['ABCF2', 'EST133090', 'ABC28', 'M-ABC1', 'HUSSY-18']	['ATP binding cassette subfamily F member 2', 'ATP-binding cassette, sub-family F (GCN20), member 2']
HGNC:48842	['ABCF2P2']	['ATP binding cassette subfamily F member 2 pseudogene 2', 'ATP-binding cassette, sub-family F (GCN20), member 2 pseudogene 2']
HGNC:73	['ABCG1', 'ABC8']	['ATP binding cassette subfamily G member 1', 'ATP-binding cassette transporter 8', 'ATP-binding cassette, sub-family G (WHITE), member 1']
HGNC:13884	['ABCG4', 'WHITE2']	['ATP binding cassette subfamily G member 4', 'putative ABC transporter', 'ATP-binding cassette, subfamily G, member 4', 'ATP-binding cassette, sub-family G (WHITE), member 4']
HGNC:13887	['ABCG8', 'GBD4']	['ATP binding cassette subfamily G member 8', 'gallbladder disease 4', 'sterolin 2', 'ATP-binding cassette, sub-family G (WHITE), member 8 (sterolin 2)', 'ATP-binding cassette, sub-family G (WHITE), member 8']
HGNC:18717	['ABHD2', 'LABH2']	['abhydrolase domain containing 2']
HGNC:20154	['ABHD4', 'FLJ12816']	['abhydrolase domain containing 4']
HGNC:21398	['ABHD6']	['abhydrolase domain containing 6']
HGNC:25656	['ABHD10', 'FLJ11342']	['abhydrolase domain containing 10']
HGNC:18289	['ABHD11-AS1', 'NCRNA00035', 'WBSCR26', 'LINC00035']	['ABHD11 antisense RNA 1 (tail to tail)', 'non-protein coding RNA 35', 'Williams Beuren syndrome chromosome region 26', 'Williams Beuren syndrome chromosome region 26 (non-protein coding)', 'long intergenic non-protein coding RNA 35']
HGNC:15868	['ABHD12', 'DKFZP434P106', 'dJ965G21.2', 'BEM46L2', 'ABHD12A', 'C20orf22']	['abhydrolase domain containing 12', 'chromosome 20 open reading frame 22']
HGNC:20293	['ABHD13', 'bA153I24.2', 'FLJ14906', 'BEM46L1', 'C13orf6']	['abhydrolase domain containing 13', 'chromosome 13 open reading frame 6']
HGNC:38856	['ABHD14A-ACY1']	['ABHD14A-ACY1 readthrough', 'ABHD14A-ACY1 readthrough (NMD candidate)']
HGNC:26971	['ABHD15']	['abhydrolase domain containing 15']
HGNC:13921	['ABHD16A', 'NG26', 'D6S82E', 'BAT5']	['abhydrolase domain containing 16A', 'HLA-B associated transcript 5']
HGNC:28756	['ABHD17A', 'MGC5244', 'C19orf27', 'FAM108A1']	['abhydrolase domain containing 17A', 'chromosome 19 open reading frame 27', 'family with sequence similarity 108, member A1']
HGNC:34041	['ABHD17AP3', 'FAM108A4', 'FAM108A4P']	['abhydrolase domain containing 17A pseudogene 3', 'family with sequence similarity 108, member A4', 'family with sequence similarity 108, member A4, pseudogene']
HGNC:34043	['ABHD17AP5', 'FAM108A6', 'FAM108A6P']	['abhydrolase domain containing 17A pseudogene 5', 'family with sequence similarity 108, member A6', 'family with sequence similarity 108, member A6, pseudogene']
HGNC:38508	['ABHD17AP7', 'FAM108A8P']	['abhydrolase domain containing 17A pseudogene 7', 'family with sequence similarity 108, member A8, pseudogene']
HGNC:38510	['ABHD17AP9', 'FAM108A10P']	['abhydrolase domain containing 17A pseudogene 9', 'family with sequence similarity 108, member A10, pseudogene']
HGNC:26925	['ABHD17C', 'FAM108C1']	['abhydrolase domain containing 17C', 'family with sequence similarity 108, member C1']
HGNC:11320	['ABI1', 'E3B1', 'ABI-1', 'SSH3BP1']	['abl interactor 1', 'spectrin SH3 domain binding protein 1', 'abl-interactor 1']
HGNC:24011	['ABI2', 'ABI-2', 'AIP-1', 'ABI2B', 'AblBP3', 'argBPIA', 'SSH3BP2']	['abl interactor 2', 'abl-interactor 2']
HGNC:17265	['ABI3BP', 'NESHBP', 'DKFZP586L2024', 'TARSH']	['ABI family member 3 binding protein', 'target of Nesh-SH3', 'ABI family, member 3 (NESH) binding protein']
HGNC:77	['ABL2', 'ARG', 'ABLL']	['ABL proto-oncogene 2, non-receptor tyrosine kinase', 'Abelson-related gene', 'v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)', 'v-abl Abelson murine leukemia viral oncogene homolog 2', 'c-abl oncogene 2, non-receptor tyrosine kinase']
HGNC:19195	['ABLIM2', 'KIAA1808']	['actin binding LIM protein family member 2', 'actin binding LIM protein 2', 'actin binding LIM protein family, member 2']
HGNC:79	['ABO', 'A3GALNT', 'A3GALT1']	['ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase', 'ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)']
HGNC:30655	['ABRA', 'STARS']	['actin binding Rho activating protein', 'striated muscle activator of Rho-dependent signaling']
HGNC:17369	['ABT1']	['activator of basal transcription 1']
HGNC:18275	['ABTB1', 'BPOZ', 'EF1ABP', 'Btb3', 'BTBD21']	['ankyrin repeat and BTB domain containing 1', 'ankyrin repeat and BTB (POZ) domain containing 1']
HGNC:82	['ACAA1']	['acetyl-CoA acyltransferase 1', 'peroxisomal 3-oxoacyl-Coenzyme A thiolase', 'acetyl-Coenzyme A acyltransferase 1']
HGNC:84	['ACACA', 'ACC1', 'ACAC', 'ACC']	['acetyl-CoA carboxylase alpha', 'acetyl-CoA carboxylase 1', 'acetyl-Coenzyme A carboxylase alpha']
HGNC:87	['ACAD8']	['acyl-CoA dehydrogenase family member 8', 'acyl-Coenzyme A dehydrogenase family, member 8', 'acyl-CoA dehydrogenase family, member 8']
HGNC:21597	['ACAD10', 'MGC5601']	['acyl-CoA dehydrogenase family member 10', 'acyl-Coenzyme A dehydrogenase family, member 10', 'acyl-CoA dehydrogenase family, member 10']
HGNC:88	['ACADL', 'LCAD', 'ACAD4']	['acyl-CoA dehydrogenase, long chain', 'acyl-Coenzyme A dehydrogenase, long chain']
HGNC:90	['ACADS', 'SCAD', 'ACAD3']	['acyl-CoA dehydrogenase, C-2 to C-3 short chain', 'acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain']
HGNC:92	['ACADVL', 'VLCAD', 'LCACD', 'ACAD6']	['acyl-CoA dehydrogenase, very long chain', 'acyl-Coenzyme A dehydrogenase, very long chain']
HGNC:319	['ACAN', 'CSPGCP', 'MSK16', 'CSPG1', 'AGC1']	['aggrecan', 'aggrecan proteoglycan', 'chondroitin sulfate proteoglycan 1', 'aggrecan 1']
HGNC:16469	['ACAP2', 'KIAA0041', 'CNT-B2', 'CENTB2']	['ArfGAP with coiled-coil, ankyrin repeat and PH domains 2', 'centaurin, beta 2']
HGNC:16754	['ACAP3', 'KIAA1716', 'CENTB5']	['ArfGAP with coiled-coil, ankyrin repeat and PH domains 3', 'centaurin, beta 5']
HGNC:94	['ACAT2']	['acetyl-CoA acetyltransferase 2', 'acetoacetyl Coenzyme A thiolase', 'acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)', 'acetyl-Coenzyme A acetyltransferase 2']
HGNC:40701	['ACBD3-AS1']	['ACBD3 antisense RNA 1']
HGNC:23338	['ACBD5', 'DKFZp434A2417', 'KIAA1996']	['acyl-CoA binding domain containing 5', 'acyl-Coenzyme A binding domain containing 5']
HGNC:17715	['ACBD7', 'FLJ38219', 'bA455B2.2']	['acyl-CoA binding domain containing 7', 'acyl-Coenzyme A binding domain containing 7']
HGNC:34391	['ACCSL']	['1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like', '1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like']
HGNC:2707	['ACE', 'ACE1', 'CD143', 'DCP1']	['angiotensin I converting enzyme', 'peptidyl-dipeptidase A', 'angiotensin I converting enzyme (peptidyl-dipeptidase A) 1']
HGNC:44365	['ACE3P']	['angiotensin I converting enzyme 3, pseudogene', 'peptidyl-dipeptidase A, pseudogene', 'angiotensin I converting enzyme (peptidyl-dipeptidase A) 3, pseudogene']
HGNC:23675	['ACER2', 'FLJ41587', 'ALKCDase2', 'ASAH3L']	['alkaline ceramidase 2', 'N-acylsphingosine amidohydrolase 3-like']
HGNC:108	['ACHE', 'YT']	['acetylcholinesterase (Cartwright blood group)', 'Yt blood group', 'acetylcholinesterase (YT blood group)', 'acetylcholinesterase (Yt blood group)']
HGNC:4035	['ACKR1', 'CCBP1', 'GPD', 'Dfy', 'CD234', 'FY', 'DARC']	['atypical chemokine receptor 1 (Duffy blood group)', 'atypical chemokine receptor 1', 'Duffy blood group', 'Duffy blood group, chemokine receptor', 'Duffy blood group, atypical chemokine receptor']
HGNC:23692	['ACKR3', 'RDC1', 'GPR159', 'CMKOR1', 'CXCR7']	['atypical chemokine receptor 3', 'chemokine orphan receptor 1', 'chemokine (C-X-C motif) receptor 7']
HGNC:114	['ACLS']	['acrocallosal syndrome']
HGNC:116	['ACMG']	['entry withdrawn']
HGNC:117	['ACO1', 'IRP1', 'IREBP', 'IREB1']	['aconitase 1', 'aconitate hydratase, cytoplasmic', 'soluble aconitase', 'cytosplasmic aconitase', 'aconitase 1, soluble']
HGNC:33904	['ACOD1', 'CAD', 'IRG1']	['aconitate decarboxylase 1', 'immunoresponsive 1 homolog (mouse)']
HGNC:18431	['ACOT2', 'Mte1', 'ZAP128']	['acyl-CoA thioesterase 2', 'mitochondrial acyl-CoA thioesterase 1']
HGNC:33159	['ACOT6', 'C14orf42']	['acyl-CoA thioesterase 6', 'chromosome 14 open reading frame 42']
HGNC:15919	['ACOT8', 'hACTE-III', 'hTE', 'PTE-2', 'NAP1', 'PTE1']	['acyl-CoA thioesterase 8', 'choloyl-CoA hydrolase', 'Nef (lentivirus myristoylated factor) associated protein 1', 'peroxisomal acyl-CoA thioesterase', 'peroxisomal acyl-CoA thioesterase 1']
HGNC:18156	['ACOT11', 'STARD14', 'BFIT', 'KIAA0707', 'BFIT1', 'THEM1', 'THEA']	['acyl-CoA thioesterase 11', 'StAR-related lipid transfer (START) domain containing 14', 'thioesterase, adipose associated']
HGNC:20999	['ACOT13', 'HT012', 'THEM2']	['acyl-CoA thioesterase 13', 'thioesterase superfamily member 2']
HGNC:120	['ACOX2', 'BRCACOX', 'BRCOX', 'THCCox']	['acyl-CoA oxidase 2', 'trihydroxycoprostanoyl-CoA oxidase', '3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA 24-hydroxylase', 'branched chain acyl-CoA oxidase', 'acyl-Coenzyme A oxidase 2, branched chain', 'acyl-CoA oxidase 2, branched chain']
HGNC:25621	['ACOXL', 'FLJ11042']	['acyl-CoA oxidase-like', 'acyl-Coenzyme A oxidase-like']
HGNC:122	['ACP1', 'HAAP', 'LMW-PTP', 'LMWPTP']	['acid phosphatase 1, soluble', 'acid phosphatase of erythrocyte', 'low molecular weight phosphotyrosine protein phosphatase', 'red cell acid phosphatase']
HGNC:124	['ACP5', 'TRAP', 'HPAP']	['acid phosphatase 5, tartrate resistant', 'tartrate-resistant acid phosphatase', 'human purple acid phosphatase']
HGNC:33781	['ACP7', 'FLJ16165', 'PAPL1', 'PAPL']	['acid phosphatase 7, tartrate resistant (putative)', 'purple acid phosphatase long form 1']
HGNC:14376	['ACPT']	['acid phosphatase, testicular', 'testicular acid phosphatase']
HGNC:17195	['ACRBP', 'SP32', 'OY-TES-1', 'CT23']	['acrosin binding protein', 'proacrosin binding protein sp32', 'cancer/testis antigen 23']
HGNC:29567	['ACSBG1', 'BGM', 'FLJ30320', 'MGC14352', 'BG1', 'KIAA0631', 'hBG1', 'hsBG']	['acyl-CoA synthetase bubblegum family member 1', 'bubblegum', 'very long-chain acyl-CoA synthetase', 'lipidosin']
HGNC:26101	['ACSF2', 'FLJ20920', 'ACSMW']	['acyl-CoA synthetase family member 2']
HGNC:3569	['ACSL1', 'LACS2', 'LACS', 'ACS1', 'LACS1', 'FACL1', 'FACL2']	['acyl-CoA synthetase long-chain family member 1', 'lignoceroyl-CoA synthase', 'long-chain fatty-acid-coenzyme A ligase 1', 'fatty-acid-Coenzyme A ligase, long-chain 2']
HGNC:3571	['ACSL4', 'ACS4', 'LACS4', 'FACL4', 'MRX63', 'MRX68']	['acyl-CoA synthetase long-chain family member 4', 'lignoceroyl-CoA synthase', ' long-chain fatty-acid-Coenzyme A ligase 4', 'fatty-acid-Coenzyme A ligase, long-chain 4', 'mental retardation, X-linked 63', 'mental retardation, X-linked 68']
HGNC:16496	['ACSL6', 'KIAA0837', 'ACS2', 'LACS5', 'LACS2', 'FACL6']	['acyl-CoA synthetase long-chain family member 6', 'fatty-acid-Coenzyme A ligase, long-chain 6']
HGNC:32017	['ACSM2A', 'A-923A4.1', 'MGC150530', 'ACSM2']	['acyl-CoA synthetase medium-chain family member 2A', 'acyl-CoA synthetase medium-chain family member 2']
HGNC:10522	['ACSM3', 'SA', 'SAH']	['acyl-CoA synthetase medium-chain family member 3', 'SA (rat hypertension-associated) homolog', 'SA hypertension-associated homolog (rat)']
HGNC:26060	['ACSM5', 'FLJ20581']	['acyl-CoA synthetase medium-chain family member 5']
HGNC:31665	['ACSM6', 'bA310E22.3', 'C10orf129']	['acyl-CoA synthetase medium-chain family member 6', 'chromosome 10 open reading frame 129']
HGNC:15814	['ACSS2', 'ACS', 'ACSA', 'AceCS', 'dJ1161H23.1', 'ACAS2']	['acyl-CoA synthetase short-chain family member 2', 'acetyl-Coenzyme A synthetase 2 (ADP forming)']
HGNC:129	['ACTA1', 'NEM3', 'ACTA']	['actin, alpha 1, skeletal muscle', 'nemaline myopathy type 3']
HGNC:45169	['ACTA2-AS1', 'uc001kfo.1', 'ZXF1']	['ACTA2 antisense RNA 1']
HGNC:17780	['ACTBL2', 'DKFZp686D0972']	['actin, beta like 2', 'actin, beta-like 2']
HGNC:135	['ACTBP2']	['actin, beta pseudogene 2']
HGNC:137	['ACTBP4']	['actin, beta pseudogene 4']
HGNC:139	['ACTBP6']	['actin, beta pseudogene 6']
HGNC:141	['ACTBP8', 'ACTBP2']	['actin, beta pseudogene 8']
HGNC:31819	['ACTBP10']	['actin, beta pseudogene 10']
HGNC:150	['ACTBP12', 'ACTGP5']	['actin, beta pseudogene 12', 'actin, gamma pseudogene 5']
HGNC:45086	['ACTBP14']	['actin, beta pseudogene 14']
HGNC:144	['ACTG1', 'ACTG', 'DFNA20', 'DFNA26']	['actin gamma 1', 'deafness, autosomal dominant 20', 'deafness, autosomal dominant 26']
HGNC:147	['ACTG1P2', 'ACTL2', 'ACTGP2']	['actin gamma 1 pseudogene 2', 'actin, gamma pseudogene 2']
HGNC:149	['ACTG1P4', 'ACTGP4']	['actin gamma 1 pseudogene 4', 'actin, gamma pseudogene 4']
HGNC:152	['ACTG1P7', 'ACTGP7']	['actin gamma 1 pseudogene 7', 'actin, gamma pseudogene 7']
HGNC:154	['ACTG1P9', 'ACTGP9']	['actin gamma 1 pseudogene 9', 'actin, gamma pseudogene 9']
HGNC:37651	['ACTG1P11']	['actin gamma 1 pseudogene 11']
HGNC:49058	['ACTG1P13']	['actin gamma 1 pseudogene 13']
HGNC:51495	['ACTG1P15']	['actin gamma 1 pseudogene 15']
HGNC:51497	['ACTG1P17']	['actin gamma 1 pseudogene 17']
HGNC:51499	['ACTG1P19']	['actin gamma 1 pseudogene 19']
HGNC:51501	['ACTG1P21']	['actin gamma 1 pseudogene 21']
HGNC:51503	['ACTG1P23']	['actin gamma 1 pseudogene 23']
HGNC:145	['ACTG2', 'ACTSG', 'ACTL3', 'ACTA3']	['actin, gamma 2, smooth muscle, enteric']
HGNC:159	['ACTL5']	['entry withdrawn']
HGNC:160	['ACTL6B', 'BAF53B', 'ACTL6']	['actin like 6B', 'actin-like 6']
HGNC:162	['ACTL7B', 'Tact1']	['actin like 7B']
HGNC:28494	['ACTL9', 'MGC33407']	['actin like 9']
HGNC:163	['ACTN1']	['actinin alpha 1']
HGNC:164	['ACTN2']	['actinin alpha 2']
HGNC:166	['ACTN4', 'FSGS1']	['actinin alpha 4', 'focal segmental glomerulosclerosis 1']
HGNC:44032	['ACTN4P2']	['actinin alpha 4 pseudogene 2']
HGNC:167	['ACTR1A', 'ARP1', 'Arp1A']	['ARP1 actin-related protein 1 homolog A, centractin alpha', 'ARP1 (actin-related protein 1, yeast) homolog A (centractin alpha)']
HGNC:169	['ACTR2', 'ARP2']	['ARP2 actin related protein 2 homolog', 'ARP2 (actin-related protein 2, yeast) homolog', 'ARP2 actin-related protein 2 homolog (yeast)']
HGNC:17256	['ACTR3B', 'ARP11', 'ARP3beta']	['ARP3 actin related protein 3 homolog B', 'ARP3 actin-related protein 3 homolog B (yeast)']
HGNC:38677	['ACTR3BP2', 'FKSG73']	['ACTR3B pseudogene 2', 'ARP3 actin-related protein 3 homolog B (yeast) pseudogene 2']
HGNC:38681	['ACTR3BP4']	['ACTR3B pseudogene 4', 'ARP3 actin-related protein 3 homolog B (yeast) pseudogene 4']
HGNC:38683	['ACTR3BP6']	['ACTR3B pseudogene 6', 'ARP3 actin-related protein 3 homolog B (yeast) pseudogene 6']
HGNC:31820	['ACTR3P1']	['ACTR3 pseudogene 1', 'ARP3 actin-related protein 3 homolog (yeast) pseudogene 1']
HGNC:38679	['ACTR3P3']	['ACTR3 pseudogene 3', 'ARP3 actin-related protein 3 homolog (yeast) pseudogene 3']
HGNC:24025	['ACTR6', 'ARP6', 'FLJ13433']	['ARP6 actin-related protein 6 homolog', 'ARP6 actin-related protein 6 homolog (yeast)']
HGNC:14672	['ACTR8', 'INO80N']	['ARP8 actin-related protein 8 homolog', 'INO80 complex subunit N', 'ARP8 (actin-related protein 8, yeast) homolog']
HGNC:24027	['ACTRT1', 'AIP1', 'KIAA0705', 'ARIP1', 'Arp-T1']	['actin related protein T1']
HGNC:24022	['ACTRT3', 'ARPM1']	['actin related protein T3', 'actin related protein M1']
HGNC:172	['ACVR1B', 'ALK4', 'SKR2', 'ActRIB', 'ACVRLK4']	['activin A receptor type 1B', 'activin A receptor, type IB']
HGNC:173	['ACVR2A', 'ACTRII', 'ACVR2']	['activin A receptor type 2A', 'activin A receptor, type II', 'activin A receptor, type IIA']
HGNC:44161	['ACVR2B-AS1']	['ACVR2B antisense RNA 1', 'ACVR2B antisense RNA 1 (non-protein coding)']
HGNC:177	['ACY1']	['aminoacylase 1']
HGNC:179	['ACYP1']	['acylphosphatase 1', 'acylphosphatase 1, erythrocyte (common) type']
HGNC:185	['AD5']	['Alzheimer disease 5']
HGNC:30713	['ADAD1', 'Tenr']	['adenosine deaminase domain containing 1', 'adenosine deaminase domain containing 1 (testis-specific)']
HGNC:44552	['ADAD1P2']	['adenosine deaminase domain containing 1 pseudogene 2', 'adenosine deaminase domain containing 1 (testis-specific) pseudogene 2']
HGNC:31853	['ADAL']	['adenosine deaminase like']
HGNC:44366	['ADAM1B']	['ADAM metallopeptidase domain 1B (pseudogene)', 'ADAM metallopeptidase domain 1B, pseudogene']
HGNC:209	['ADAM3A', 'ADAM3', 'tMDCI', 'CYRN1']	['ADAM metallopeptidase domain 3A (pseudogene)', 'cyritestin 1', 'a disintegrin and metalloproteinase domain 3a (cyritestin 1)', 'ADAM metallopeptidase domain 3A, pseudogene', 'ADAM metallopeptidase domain 3A']
